season,week,game_type,quarter,quarter_type,home_team,home_full_name,home_division,home_conference,away_team,away_full_name,away_division,away_conference,home_team_score,away_team_score
2018,3,Regular season,1,Regulation,MIN,Minnesota Vikings,North,NFC,BUF,Buffalo Bills,East,AFC,0,17
2018,3,Regular season,2,Regulation,MIN,Minnesota Vikings,North,NFC,BUF,Buffalo Bills,East,AFC,0,27
2018,3,Regular season,3,Regulation,MIN,Minnesota Vikings,North,NFC,BUF,Buffalo Bills,East,AFC,0,27
2018,3,Regular season,4,Regulation,MIN,Minnesota Vikings,North,NFC,BUF,Buffalo Bills,East,AFC,6,27
2018,3,Regular season,1,Regulation,ARI,Arizona Cardinals,West,NFC,CHI,Chicago Bears,North,NFC,14,0
2018,3,Regular season,2,Regulation,ARI,Arizona Cardinals,West,NFC,CHI,Chicago Bears,North,NFC,14,3
2018,3,Regular season,3,Regulation,ARI,Arizona Cardinals,West,NFC,CHI,Chicago Bears,North,NFC,14,13
2018,3,Regular season,4,Regulation,ARI,Arizona Cardinals,West,NFC,CHI,Chicago Bears,North,NFC,14,16
2018,3,Regular season,1,Regulation,CAR,Carolina Panthers,South,NFC,CIN,Cincinnati Bengals,North,AFC,7,7
2018,3,Regular season,2,Regulation,CAR,Carolina Panthers,South,NFC,CIN,Cincinnati Bengals,North,AFC,21,14
2018,3,Regular season,3,Regulation,CAR,Carolina Panthers,South,NFC,CIN,Cincinnati Bengals,North,AFC,28,21
2018,3,Regular season,4,Regulation,CAR,Carolina Panthers,South,NFC,CIN,Cincinnati Bengals,North,AFC,31,21
2018,3,Regular season,1,Regulation,SEA,Seattle Seahawks,West,NFC,DAL,Dallas Cowboys,East,NFC,0,0
2018,3,Regular season,2,Regulation,SEA,Seattle Seahawks,West,NFC,DAL,Dallas Cowboys,East,NFC,17,3
2018,3,Regular season,3,Regulation,SEA,Seattle Seahawks,West,NFC,DAL,Dallas Cowboys,East,NFC,17,6
2018,3,Regular season,4,Regulation,SEA,Seattle Seahawks,West,NFC,DAL,Dallas Cowboys,East,NFC,24,13
2018,3,Regular season,1,Regulation,BAL,Baltimore Ravens,North,AFC,DEN,Denver Broncos,West,AFC,10,14
2018,3,Regular season,2,Regulation,BAL,Baltimore Ravens,North,AFC,DEN,Denver Broncos,West,AFC,20,14
2018,3,Regular season,3,Regulation,BAL,Baltimore Ravens,North,AFC,DEN,Denver Broncos,West,AFC,27,14
